business_id,snapshot_date,province,industry_sector,legal_entity_type,business_age_years,annual_revenue,predicted_default_probability,orey_financial_health_score,risk_band,lending_decision,indicative_pricing_tier,indicative_monthly_rate,facility_limit_guidance,monitoring_frequency
APP-00132,2026-08-06,Gauteng,Retail Trade,Sole Proprietor,3.7,1119660.35,0.054701121235265895,636,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00133,2026-08-16,Gauteng,Real Estate,Pty Ltd,1.6,330424.98,0.27880986062739377,581,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00134,2026-08-11,Gauteng,Real Estate,Pty Ltd,8.7,985082.71,0.36780090348510974,569,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00135,2026-08-19,Western Cape,Personal Services,Pty Ltd,5.3,511827.61,0.3524655903787678,571,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00136,2026-08-09,Gauteng,Transport & Logistics,Pty Ltd,4.2,7326531.91,0.13525598775678616,607,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00137,2026-08-26,Mpumalanga,Agriculture,Pty Ltd,2.2,1545377.67,0.03783433561660303,647,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00138,2026-08-18,Mpumalanga,Hospitality & Food Service,Pty Ltd,11.4,303084.28,0.21679971456462013,591,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00139,2026-08-06,Western Cape,Personal Services,Pty Ltd,1.0,1609397.75,0.049937438789698085,639,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00140,2026-08-24,KwaZulu-Natal,Professional Services,Sole Proprietor,10.6,780447.9,0.05126884075256992,638,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00141,2026-08-19,Limpopo,Agriculture,Pty Ltd,6.9,6147152.38,0.012387733309254174,680,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00142,2026-08-28,Western Cape,ICT & Tech Services,Pty Ltd,3.5,412273.96,0.08236797960121041,623,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00143,2026-08-27,KwaZulu-Natal,Construction,Pty Ltd,5.6,151657.97,0.019724825486148147,666,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00144,2026-08-10,Western Cape,Manufacturing,Pty Ltd,1.4,1128941.09,0.01791899379716802,669,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00145,2026-08-21,Eastern Cape,Manufacturing,Pty Ltd,13.0,865062.02,0.5580133619648738,547,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00146,2026-08-17,North West,Retail Trade,Partnership,1.7,746095.85,0.4347457262529875,561,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00147,2026-08-13,Gauteng,Retail Trade,Pty Ltd,3.3,155739.66,0.027720369553986084,656,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00148,2026-08-01,North West,Agriculture,Sole Proprietor,9.6,1806391.44,0.683502685884816,531,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00149,2026-08-24,Eastern Cape,Agriculture,Pty Ltd,3.9,4511671.1,0.04783579150432813,640,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00150,2026-08-11,Free State,Construction,Pty Ltd,6.2,184627.33,0.32532825640154855,575,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00151,2026-08-02,KwaZulu-Natal,Manufacturing,Partnership,6.0,3319037.27,0.048345953837903965,640,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00152,2026-08-28,Limpopo,Wholesale Trade,Partnership,3.0,591307.98,0.41357854400492183,564,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00153,2026-08-12,Western Cape,Agriculture,Pty Ltd,3.6,8735403.67,0.02224496716461017,663,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00154,2026-08-04,Eastern Cape,Manufacturing,Pty Ltd,15.6,1745229.37,0.14947493408236986,604,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00155,2026-08-13,Gauteng,Personal Services,Pty Ltd,9.6,970074.85,0.05721865428301288,634,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00156,2026-08-26,KwaZulu-Natal,Health & Wellness,Pty Ltd,7.8,3027530.87,0.06802943093812375,629,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00157,2026-08-22,Eastern Cape,Retail Trade,Sole Proprietor,5.5,1896954.36,0.43278603572811947,561,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00158,2026-08-19,Gauteng,Manufacturing,Sole Proprietor,2.5,538813.71,0.8339431776034384,507,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00159,2026-08-09,Gauteng,Hospitality & Food Service,Sole Proprietor,,2048609.77,0.7426953934303098,523,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00160,2026-08-09,Free State,Agriculture,Sole Proprietor,8.0,808923.07,0.553087072531568,547,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00161,2026-08-08,Mpumalanga,Professional Services,Pty Ltd,3.3,213315.93,0.3218604174078045,575,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00162,2026-08-23,Eastern Cape,Real Estate,Pty Ltd,4.3,6736241.11,0.09888051522437344,617,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00163,2026-08-24,Western Cape,ICT & Tech Services,Pty Ltd,2.0,788685.58,0.05321969851912908,637,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00164,2026-08-09,Eastern Cape,Wholesale Trade,Sole Proprietor,1.1,647582.35,0.5385295485722814,549,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00165,2026-08-09,Gauteng,Manufacturing,Pty Ltd,5.7,1413871.85,0.2012147973436049,593,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00166,2026-08-26,Eastern Cape,Retail Trade,Pty Ltd,2.4,,0.4952623272064985,554,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00167,2026-08-29,KwaZulu-Natal,Manufacturing,Close Corporation,17.3,347087.2,0.3670277102856701,569,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00168,2026-08-03,KwaZulu-Natal,Manufacturing,Pty Ltd,14.7,776700.16,0.06778944482959377,629,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00169,2026-08-08,Western Cape,Manufacturing,Pty Ltd,4.2,682873.9,0.49888886659689546,554,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00170,2026-08-04,Gauteng,Hospitality & Food Service,Pty Ltd,11.1,,0.4585565109187026,558,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00171,2026-08-11,Eastern Cape,Hospitality & Food Service,NPO,2.6,,0.13939671923083577,606,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00172,2026-08-22,Western Cape,Professional Services,Pty Ltd,11.1,775086.2,0.7866245132151046,516,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00173,2026-08-18,Free State,Manufacturing,Pty Ltd,18.4,1783937.5,0.6396388949514686,537,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00174,2026-08-14,Western Cape,Hospitality & Food Service,Pty Ltd,8.1,1911893.14,0.8331816775835622,507,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00175,2026-08-07,Gauteng,ICT & Tech Services,Sole Proprietor,,443359.74,0.29284740855933866,579,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00176,2026-08-05,KwaZulu-Natal,Hospitality & Food Service,Pty Ltd,0.5,1238803.9,0.5600263830477441,547,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00177,2026-08-23,KwaZulu-Natal,Manufacturing,Close Corporation,5.0,441587.57,0.06830871007824252,629,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00178,2026-08-15,Limpopo,Real Estate,Pty Ltd,4.3,3043782.73,0.4903044109568229,555,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00179,2026-08-01,Limpopo,Health & Wellness,Sole Proprietor,8.4,1729629.45,0.16096108610993334,601,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00180,2026-08-09,Gauteng,Agriculture,Pty Ltd,5.3,1040234.87,0.007410628611893393,695,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00181,2026-08-20,Free State,Agriculture,Close Corporation,8.0,363062.79,0.8008098495045378,513,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00182,2026-08-16,Gauteng,Personal Services,Pty Ltd,5.9,1187894.79,0.0056702066993562505,703,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00183,2026-08-22,Eastern Cape,Retail Trade,Sole Proprietor,2.6,541457.76,0.4125236961057851,564,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00184,2026-08-22,Western Cape,Agriculture,Close Corporation,1.6,1952745.53,0.2108763326193601,592,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00185,2026-08-04,Western Cape,Hospitality & Food Service,Pty Ltd,10.5,1077297.1,0.012119410813804923,681,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00186,2026-08-25,Western Cape,Construction,Pty Ltd,3.0,514720.73,0.35095136255726733,571,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00187,2026-08-18,KwaZulu-Natal,Personal Services,Sole Proprietor,7.8,2559022.66,0.23708880688758915,587,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00188,2026-08-02,Eastern Cape,Transport & Logistics,Pty Ltd,6.9,2166703.74,0.3615344549503093,570,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00189,2026-08-28,KwaZulu-Natal,Health & Wellness,Pty Ltd,3.6,691643.92,0.4110817038986404,564,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00190,2026-08-18,Eastern Cape,Manufacturing,Sole Proprietor,1.3,2603184.37,0.4644538444318479,558,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00191,2026-08-07,Western Cape,Professional Services,Pty Ltd,6.3,858158.7,0.07541156452153955,626,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00192,2026-08-29,Eastern Cape,Construction,Pty Ltd,11.8,916379.81,0.0650837793561319,630,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00193,2026-08-01,Western Cape,Professional Services,Pty Ltd,1.5,1094586.02,0.02035632534543936,665,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00194,2026-08-14,KwaZulu-Natal,Manufacturing,Pty Ltd,23.3,560485.41,0.14223629298851984,605,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00195,2026-08-02,Western Cape,Retail Trade,Pty Ltd,5.9,827749.58,0.13338040316071642,608,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00196,2026-08-23,KwaZulu-Natal,Wholesale Trade,Pty Ltd,7.2,,0.0409958609476818,645,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00197,2026-08-23,Gauteng,Health & Wellness,Pty Ltd,12.7,5183835.51,0.1722152467314078,599,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00198,2026-08-03,Western Cape,Retail Trade,Pty Ltd,14.8,4690393.64,0.23267492404623288,588,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00199,2026-08-09,Gauteng,Real Estate,Pty Ltd,6.8,896750.63,0.10195313516288528,616,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00200,2026-08-26,Western Cape,Construction,Sole Proprietor,9.1,5097335.03,0.20312952525910466,593,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00201,2026-08-08,Gauteng,Transport & Logistics,Pty Ltd,3.2,1055600.13,0.3301870385515058,574,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00202,2026-08-17,Eastern Cape,Manufacturing,Pty Ltd,5.4,1644985.32,0.017688015581841448,669,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00203,2026-08-16,Limpopo,Health & Wellness,Sole Proprietor,1.8,2351197.14,0.044865641189174334,642,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00204,2026-08-26,Western Cape,Agriculture,Pty Ltd,8.5,1516927.13,0.0151384896374238,674,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00205,2026-08-22,Gauteng,Health & Wellness,Pty Ltd,7.7,10142420.31,0.14449089451571495,605,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00206,2026-08-23,KwaZulu-Natal,ICT & Tech Services,Pty Ltd,7.8,1522357.43,0.06052733001541543,633,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00207,2026-08-03,Gauteng,Construction,Pty Ltd,8.2,408293.4,0.03236010022428851,652,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00208,2026-08-26,Limpopo,Agriculture,Sole Proprietor,0.9,3146085.18,0.34676157509470323,572,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00209,2026-08-14,Gauteng,Personal Services,Partnership,4.6,727437.2,0.2116177181116376,592,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00210,2026-08-02,Western Cape,Professional Services,Close Corporation,2.5,812688.02,0.4432041104080592,560,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00211,2026-08-03,Western Cape,Professional Services,Pty Ltd,4.2,70950.68,0.18370678385931696,597,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00212,2026-08-21,Gauteng,Hospitality & Food Service,Pty Ltd,7.9,2771178.85,0.5898356425526813,543,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00213,2026-08-26,Western Cape,Construction,Pty Ltd,13.8,2356139.23,0.31472618153259146,576,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00214,2026-08-06,Gauteng,Construction,Pty Ltd,4.6,2205327.48,0.41826986046266246,563,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00215,2026-08-09,Eastern Cape,Wholesale Trade,Partnership,3.0,2611670.4,0.26466519634806035,583,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00216,2026-08-08,Northern Cape,Construction,Pty Ltd,3.7,5158201.7,0.4539218789736219,559,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00217,2026-08-26,Western Cape,Personal Services,Pty Ltd,4.9,1050085.32,0.04481199877620074,642,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00218,2026-08-10,Free State,Wholesale Trade,Sole Proprietor,4.6,2794039.73,0.23640327581394893,587,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00219,2026-08-19,Gauteng,Real Estate,Sole Proprietor,6.3,570645.43,0.38461258227809364,567,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00220,2026-08-18,KwaZulu-Natal,Real Estate,Pty Ltd,8.6,978130.48,0.05745830342331207,634,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00221,2026-08-12,Western Cape,Retail Trade,Partnership,1.2,2794869.74,0.09480596369665632,619,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00222,2026-08-19,Gauteng,Agriculture,Pty Ltd,1.1,1495778.94,0.1501690453382895,604,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00223,2026-08-06,Mpumalanga,Personal Services,Sole Proprietor,3.0,311337.57,0.03519529171581634,649,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00224,2026-08-28,Free State,Retail Trade,Pty Ltd,3.4,1268829.17,0.0661992201312931,630,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00225,2026-08-27,Gauteng,Professional Services,Close Corporation,13.5,996993.53,0.22818892196753907,589,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00226,2026-08-01,Gauteng,Construction,Pty Ltd,4.3,523138.07,0.43658965166907343,561,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00227,2026-08-14,Mpumalanga,Hospitality & Food Service,Pty Ltd,10.0,1919440.12,0.1979164848153319,594,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00228,2026-08-06,Northern Cape,Wholesale Trade,Close Corporation,2.1,675520.49,0.3467625130033878,572,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00229,2026-08-14,KwaZulu-Natal,Professional Services,Partnership,1.6,275905.6,0.12076607748972189,611,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00230,2026-08-11,Limpopo,Real Estate,Partnership,24.1,430294.5,0.13288947502351617,608,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00231,2026-08-26,Northern Cape,Transport & Logistics,Close Corporation,10.5,6032805.08,0.05439538454149292,636,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00232,2026-08-24,Free State,ICT & Tech Services,Pty Ltd,2.2,233568.25,0.2756057782217886,581,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00233,2026-08-09,KwaZulu-Natal,Transport & Logistics,Pty Ltd,4.7,1341793.63,0.024424273106719876,660,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00234,2026-08-16,Gauteng,Transport & Logistics,Pty Ltd,17.8,2015990.08,0.04365834336561063,643,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00235,2026-08-12,Western Cape,Personal Services,Pty Ltd,7.3,2089397.01,0.6035216650684334,541,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00236,2026-08-15,KwaZulu-Natal,Transport & Logistics,Partnership,3.5,356449.0,0.3556386094501756,571,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00237,2026-08-27,Limpopo,Real Estate,Pty Ltd,10.0,836276.42,0.27058758824760254,582,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00238,2026-08-23,Western Cape,ICT & Tech Services,Pty Ltd,7.5,1355539.52,0.09330203924837618,619,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00239,2026-08-02,Western Cape,Transport & Logistics,Pty Ltd,0.7,,0.7391858980910192,524,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00240,2026-08-19,Gauteng,Personal Services,Pty Ltd,21.1,682722.56,0.6319919811176089,538,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00241,2026-08-23,Eastern Cape,Construction,Pty Ltd,10.9,436696.69,0.3696341964350239,569,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00242,2026-08-09,Western Cape,Transport & Logistics,Pty Ltd,5.1,2854675.4,0.38119098948971486,568,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00243,2026-08-22,Free State,Personal Services,Close Corporation,3.5,2887400.41,0.020150164020032866,666,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00244,2026-08-03,Gauteng,Hospitality & Food Service,Sole Proprietor,2.9,1376515.93,0.16026433026207776,601,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00245,2026-08-03,Eastern Cape,Personal Services,Pty Ltd,0.9,550440.6,0.08876032020327582,621,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00246,2026-08-14,Eastern Cape,Retail Trade,Close Corporation,6.0,1714144.28,0.14881422990547075,604,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00247,2026-08-12,Western Cape,Retail Trade,Sole Proprietor,3.1,1213398.03,0.21063106707397902,592,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00248,2026-08-26,Gauteng,Professional Services,Pty Ltd,2.0,2226691.94,0.079606151169079,624,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00249,2026-08-24,Western Cape,ICT & Tech Services,Close Corporation,2.9,,0.2303172033682193,588,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00250,2026-08-18,Free State,Personal Services,Partnership,19.4,1317330.6,0.025279620421209976,659,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
